1,0,0,0,0,0,0,0,0,0
0.702332,0.263374,0,0.0329218,0,0,0.00137174,0,0,0
0.702332,0,0.263374,0,0,0.0329218,0,0,0,0.00137174
0.470508,0.403292,0,0.115226,0,0,0.0109739,0,0,0
0.470508,0.201646,0.201646,0.0288066,0.0576132,0.0288066,0.00137174,0.00411523,0.00411523,0.00137174
0.470508,0,0.403292,0,0,0.115226,0,0,0,0.0109739
0.296296,0.444444,0,0.222222,0,0,0.037037,0,0,0
0.296296,0.296296,0.148148,0.0987654,0.0987654,0.0246914,0.0109739,0.0164609,0.00823045,0.00137174
0.296296,0.148148,0.296296,0.0246914,0.0987654,0.0987654,0.00137174,0.00823045,0.0164609,0.0109739
0.296296,0,0.444444,0,0,0.222222,0,0,0,0.037037
0.171468,0.411523,0,0.329218,0,0,0.0877915,0,0,0
0.171468,0.308642,0.102881,0.185185,0.123457,0.0205761,0.037037,0.037037,0.0123457,0.00137174
0.171468,0.205761,0.205761,0.0823045,0.164609,0.0823045,0.0109739,0.0329218,0.0329218,0.0109739
0.171468,0.102881,0.308642,0.0205761,0.123457,0.185185,0.00137174,0.0123457,0.037037,0.037037
0.171468,0,0.411523,0,0,0.329218,0,0,0,0.0877915
0.0877915,0.329218,0,0.411523,0,0,0.171468,0,0,0
0.0877915,0.263374,0.0658436,0.263374,0.131687,0.0164609,0.0877915,0.0658436,0.0164609,0.00137174
0.0877915,0.197531,0.131687,0.148148,0.197531,0.0658436,0.037037,0.0740741,0.0493827,0.0109739
0.0877915,0.131687,0.197531,0.0658436,0.197531,0.148148,0.0109739,0.0493827,0.0740741,0.037037
0.0877915,0.0658436,0.263374,0.0164609,0.131687,0.263374,0.00137174,0.0164609,0.0658436,0.0877915
0.0877915,0,0.329218,0,0,0.411523,0,0,0,0.171468
0.037037,0.222222,0,0.444444,0,0,0.296296,0,0,0
0.037037,0.185185,0.037037,0.308642,0.123457,0.0123457,0.171468,0.102881,0.0205761,0.00137174
0.037037,0.148148,0.0740741,0.197531,0.197531,0.0493827,0.0877915,0.131687,0.0658436,0.0109739
0.037037,0.111111,0.111111,0.111111,0.222222,0.111111,0.037037,0.111111,0.111111,0.037037
0.037037,0.0740741,0.148148,0.0493827,0.197531,0.197531,0.0109739,0.0658436,0.131687,0.0877915
0.037037,0.037037,0.185185,0.0123457,0.123457,0.308642,0.00137174,0.0205761,0.102881,0.171468
0.037037,0,0.222222,0,0,0.444444,0,0,0,0.296296
0.0109739,0.115226,0,0.403292,0,0,0.470508,0,0,0
0.0109739,0.0987654,0.0164609,0.296296,0.0987654,0.00823045,0.296296,0.148148,0.0246914,0.00137174
0.0109739,0.0823045,0.0329218,0.205761,0.164609,0.0329218,0.171468,0.205761,0.0823045,0.0109739
0.0109739,0.0658436,0.0493827,0.131687,0.197531,0.0740741,0.0877915,0.197531,0.148148,0.037037
0.0109739,0.0493827,0.0658436,0.0740741,0.197531,0.131687,0.037037,0.148148,0.197531,0.0877915
0.0109739,0.0329218,0.0823045,0.0329218,0.164609,0.205761,0.0109739,0.0823045,0.205761,0.171468
0.0109739,0.0164609,0.0987654,0.00823045,0.0987654,0.296296,0.00137174,0.0246914,0.148148,0.296296
0.0109739,0,0.115226,0,0,0.403292,0,0,0,0.470508
0.00137174,0.0329218,0,0.263374,0,0,0.702332,0,0,0
0.00137174,0.0288066,0.00411523,0.201646,0.0576132,0.00411523,0.470508,0.201646,0.0288066,0.00137174
0.00137174,0.0246914,0.00823045,0.148148,0.0987654,0.0164609,0.296296,0.296296,0.0987654,0.0109739
0.00137174,0.0205761,0.0123457,0.102881,0.123457,0.037037,0.171468,0.308642,0.185185,0.037037
0.00137174,0.0164609,0.0164609,0.0658436,0.131687,0.0658436,0.0877915,0.263374,0.263374,0.0877915
0.00137174,0.0123457,0.0205761,0.037037,0.123457,0.102881,0.037037,0.185185,0.308642,0.171468
0.00137174,0.00823045,0.0246914,0.0164609,0.0987654,0.148148,0.0109739,0.0987654,0.296296,0.296296
0.00137174,0.00411523,0.0288066,0.00411523,0.0576132,0.201646,0.00137174,0.0288066,0.201646,0.470508
0.00137174,0,0.0329218,0,0,0.263374,0,0,0,0.702332
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0.702332,0.263374,0.0329218,0.00137174
0,0,0,0,0,0,0.470508,0.403292,0.115226,0.0109739
0,0,0,0,0,0,0.296296,0.444444,0.222222,0.037037
0,0,0,0,0,0,0.171468,0.411523,0.329218,0.0877915
0,0,0,0,0,0,0.0877915,0.329218,0.411523,0.171468
0,0,0,0,0,0,0.037037,0.222222,0.444444,0.296296
0,0,0,0,0,0,0.0109739,0.115226,0.403292,0.470508
0,0,0,0,0,0,0.00137174,0.0329218,0.263374,0.702332
0,0,0,0,0,0,0,0,0,1
